Address;Postcode
23 Oakpool Gardens, Leicester;LE2 9FL
7 West View Avenue, Glen Parva;LE2 9JU
8 Autumn Road, Leicester;LE2 9GL
2A Woodbank, Glen Parva;LE2 9QP
1A Saxon Dale, Glen Parva;LE2 9QA
27 Grange Close, Leicester;LE2 9GN
10 Red House Gardens, Leicester;LE2 9LY
25 Hillsborough Road, Glen Parva;LE2 9PR
3 Peewit Close, Glen Parva;LE2 9NP
199 Sturdee Road, Leicester;LE2 9FY
1 Ebchester Road, Leicester;LE2 9LR
17 Grosvenor Close, Glen Parva;LE2 9UG
19 Edward Drive, Glen Parva;LE2 9UR
13 Nursery Hollow, Glen Parva;LE2 9NX
9 Copse Close, Leicester;LE2 9GP
133 Ambleside Drive, Leicester;LE2 9FD
Apartment 5, Glenhills Court, Little Glen Road, Glen Parva;LE2 9DH
59 Featherby Drive, Glen Parva;LE2 9NZ
13 Monmouth Drive, Leicester;LE2 9RJ
71 Brettell Road, Leicester;LE2 9AB
161 Little Glen Road, Glen Parva;LE2 9TX
6 Lancaster Way, Glen Parva;LE2 9UA
1 Bradshaw Avenue, Glen Parva;LE2 9PD
18 Queensferry Parade, Leicester;LE2 9LW
17 The Slade Greens, Leicester;LE2 9AL
16 Kelso Green, Leicester;LE2 9FJ
13 Knightsbridge Road, Glen Parva;LE2 9TY
62 Grange Drive, Glen Parva;LE2 9PF
68 Henray Avenue, Leicester;LE2 9QJ
123 Sturdee Road, Leicester;LE2 9EE
Apartment 52, Glenhills Court, Little Glen Road, Glen Parva;LE2 9DH
72 Gilmorton Avenue, Leicester;LE2 9GZ
10 Ford Rise, Leicester;LE2 9LU
Apartment 32, Glenhills Court, Little Glen Road, Glen Parva;LE2 9DH
Apartment 25, Glenhills Court, Little Glen Road, Glen Parva;LE2 9DH
Apartment 34, Glenhills Court, Little Glen Road, Glen Parva;LE2 9DH
4 Pawley Gardens, Leicester;LE2 9AE
Apartment 27, Glenhills Court, Little Glen Road, Glen Parva;LE2 9DH
61 Runcorn Road, Leicester;LE2 9FS
90 Sturdee Road, Leicester;LE2 9FW
51 Scotswood Crescent, Leicester;LE2 9QE
33 Julian Road, Leicester;LE2 9RH
3 Ambleside Drive, Leicester;LE2 9LE
1 Fontwell Drive, Leicester;LE2 9NL
8 Grange Drive, Glen Parva;LE2 9PF
96 Leicester Road, Glen Parva;LE2 9HE
50 Navigation Drive, Glen Parva;LE2 9TB
2 Alderleigh Road, Glen Parva;LE2 9TA
15 Tadcaster Avenue, Leicester;LE2 9GA
25 Rushton Drive, Leicester;LE2 9HX
32 Scotswood Crescent, Leicester;LE2 9QD
81 Ambleside Drive, Leicester;LE2 9FD
Flat 5, 1 Henray Avenue, Leicester;LE2 9QL
13 Swinford Avenue, Leicester;LE2 9RW
89 Westleigh Road, Glen Parva;LE2 9TP
8 Knightsbridge Road, Glen Parva;LE2 9TY
17 Greendale Road, Glen Parva;LE2 9HD
43 Simmins Crescent, Leicester;LE2 9AH
Apartment 20, Glenhills Court, Little Glen Road, Glen Parva;LE2 9DH
259 Sturdee Road, Leicester;LE2 9FZ
23 Saxon Dale, Glen Parva;LE2 9QA
29 New Bridge Road, Glen Parva;LE2 9TG
22 The Slade Greens, Leicester;LE2 9AJ
4 Glen Rise, Glen Parva;LE2 9HA
13 Shield Crescent, Leicester;LE2 9RT
5 Garnett Crescent, Leicester;LE2 9FG
5 Garnett Crescent, Leicester;LE2 9FG
12 Autumn Road, Leicester;LE2 9GL
11 Portgate, Wigston;LE18 3LQ
19 Curzon Avenue, Wigston;LE18 4LJ
86 Lansdowne Grove, Wigston;LE18 4LX
37 Station Street, Wigston;LE18 4TH
20 Hindoostan Avenue, Wigston;LE18 4UD
8 Kirkdale Road, Wigston;LE18 4SS
6 Truro Drive, Wigston;LE18 2JD
21 Gladstone Street, Wigston;LE18 1AE
73 Gloucester Crescent, Wigston;LE18 4YF
64 Winslow Drive, Wigston;LE18 3QG
36 Halcroft Rise, Wigston;LE18 2HS
8 Grangeway Road, Wigston;LE18 1JE
20 Darley Avenue, Wigston;LE18 4LL
14 Ashbourne Road, Wigston;LE18 1FD
3 Bilsdale Road, Wigston;LE18 3RW
3 Gayhurst Close, Wigston;LE18 3WA
21 Shackerdale Road, Wigston;LE18 1BQ
134 Mere Road, Wigston;LE18 3RL
21 Long Meadow, Wigston;LE18 3TY
19 Simons Close, Wigston;LE18 3UD
253 Leicester Road, Wigston;LE18 1JU
94 Windlass Drive, Wigston;LE18 4NW
74 Bassett Street, Wigston;LE18 4PE
32 Broughtons Field, Wigston;LE18 3LJ
12 Salcombe Close, Wigston;LE18 2FX
78 Burleigh Avenue, Wigston;LE18 1FL
29 Avondale Road, Wigston;LE18 1NB
73 Manor Street, Wigston;LE18 2BT
13 Queens Drive, Wigston;LE18 2DG
21 Anglesey Road, Wigston;LE18 4XA
7 Fleckney Road, Kilby;LE18 3TB
90 Windlass Drive, Wigston;LE18 4NW
153 Lansdowne Grove, Wigston;LE18 4LZ
2 Abington Close, Wigston;LE18 2EW
6 Alfreton Road, Wigston;LE18 1FA
31 Alfreton Road, Wigston;LE18 1FB
